Name,TaxID
unclassified Cebus,2618788
unclassified Cercopithecus,2618071
Paragalago zanzibaricus,2604443
Paragalago cocos,2604442
Paragalago,2604441
Mico munduruku,2592808
Mico marcai,2592807
Mico leucippe,2592806
Mico intermedius,2592805
Saguinus oedipus x Saguinus leucopus,2586294
Saguinus geoffroyi x Saguinus leucopus,2586293
Cephalopachus bancanus borneanus,2567999
Lagothrix tschudii,2565306
Lagothrix flavicauda,2565305
Cheirogaleus cf. medius RW-2019,2563322
Microcebus sp. 3 GT-2019,2508170
Xenothrix mcgregori,2490931
Xenothrix,2490930
Xenothricinae,2490929
Plecturocebus grovesi,2488670
Alouatta palliata x Alouatta pigra,2487933
Plecturocebus vieirai,2487713
Cheracebus lucifer,2487712
Microcebus ganzhorni,2483760
Chlorocebus sp. LDS-2018,2282232
Chlorocebus pygerythrus x Chlorocebus aethiops,2269071
Nomascus cf. leucogenys SSH-2018,2170374
Nomascus leucogenys x Nomascus siki,2170373
Nomascus gabriellae x Nomascus siki,2170372
Sapajus sp. M39 FD-2018,2093840
Sapajus sp. M12 FD-2018,2093839
Sapajus sp. M5 FD-2018,2093838
Sapajus sp. 22 FD-2018,2093837
Sapajus sp. 10 FD-2018,2093836
Sapajus sp. 9 FD-2018,2093835
Allochrocebus,2059839
Pongo tapanuliensis,2051901
Hylobates sp. OH-2017,2023128
Nycticebus coucang insularis,2020906
Macaca mulatta vestita,2008792
Cebus versicolor,1985289
Cebus unicolor,1985288
Cebus olivaceus castaneus,1985287
Cephalopachus bancanus bancanus,1971490
Cephalopachus,1971489
Saimiri sp. 3 EG-2017,1967466
Saimiri sp. 2 EG-2017,1967465
Saimiri sp. 1 EG-2017,1967464
Saguinus sp. EG-2017,1967463
Lagothrix sp. EG-2017,1967456
Cebus sp. 2 EG-2017,1967452
Cebus sp. 1 EG-2017,1967451
Ateles sp. EG-2017,1967450
Trachypithecus mauritius,1966384
Calibella,1965113
Cebuella,1965109
Mico,1965102
Callithrix,1965096
Papio kindae x Papio ursinus griseipes,1945559
Papio kindae x Papio cynocephalus,1945558
Papio anubis x Papio ursinus,1945557
Papio anubis x Papio cynocephalus,1945556
Hoolock leuconedys x Hoolock tianxing,1934191
Hoolock tianxing,1934190
Chlorocebus aethiops x Chlorocebus pygerythrus,1903316
Macaca leucogenys,1885588
Sapajus sp.,1874197
Carlito syrichta,1868482
Carlito,1868481
Callicebus sp. 2 MH-2016,1861705
Callicebus sp. 1 MH-2016,1861704
Callicebus ornatus,1861702
Callicebus caquetensis,1861701
Rhinopithecus sp.,1859147
Presbytis femoralis percura,1840580
Presbytis femoralis femoralis,1840579
Cheracebus regulus,1812110
Cheracebus medemi,1812106
Cheracebus,1812102
Plecturocebus brunneus,1812042
Plecturocebus miltoni,1812038
Plecturocebus cinerascens,1812037
Plecturocebus bernhardi,1812036
Plecturocebus,1812035
Semnopithecus sp.,1778600
Callimico sp.,1758239
Chiropotes sp.,1758238
Pithecia sp.,1758237
Mico chrysoleucus,1758231
Tarsius sp. CD-2015,1748402
Tarsius fuscus,1748400
Macaca fascicularis aureus,1747270
Galagoides zanzibaricus zanzibaricus,1738053
Galago senegalensis braccatus,1738052
Galagoides demidoff murinus,1738051
Loris lydekkerianus lydekkerianus,1738050
Loris tardigradus tardigradus,1738049
Galago senegalensis senegalensis,1738048
Galagoides rondoensis,1738047
Galagoides zanzibaricus udzungwensis,1738046
Macaca mulatta brevicaudus,1654737
Leontocebus cruzlimai,1618156
Nomascus annamensis,1616038
Palaeopropithecus maximus,1597978
Cercocebus atys atys,1592215
Cercopithecus sclateri,1579530
Cheirogaleus lavasoensis,1569974
Saimiri sp.,1561164
Saimiri vanzolinii,1561161
Cheracebus purinus,1560619
Papio anubis x hamadryas,1560552
Sapajus apella macrocephalus,1547595
Sapajus apella margaritae,1532888
Sapajus,1532884
Ateles marginatus,1529884
Palaeopropithecus ingens,1513477
Palaeopropithecidae,1513476
Pachylemur jullyi,1513475
Pachylemur,1513474
Ateles geoffroyi azuerensis,1497547
Ateles fusciceps rufiventris,1497546
Galagoides cocos,1487601
Callithrix jacchus x penicillata,1476500
Chlorocebus aethiops x djamdjamensis,1476079
Chiropotes sp. ZFMK_2008.244,1472258
Macaca mulatta lasiotus,1449913
Homo heidelbergensis,1425170
Eulemur cinereiceps x rufifrons,1417237
Eulemur albifrons x cinereiceps,1417236
Eulemur albifrons x rufifrons,1417231
Macaca assamensis assamensis,1411634
Alouatta seniculus puruensis,1347729
Callithrix flaviceps,1346251
Prolemur simus,1328070
Prolemur,1328069
Phaner parienti,1313325
Phaner electromontis,1313324
Avahi peyrierasi,1313323
Microcebus sp. d'Ambre,1310125
Microcebus marohita,1310124
Microcebus tanosi,1310123
Pan troglodytes verus x troglodytes,1294088
Callicebus dubius,1290433
Chlorocebus sp. TH-2013,1284216
Chlorocebus djamdjamensis,1284215
Callicebus oenanthe,1276855
Trachypithecus phayrei shanicus,1268362
Aotus zonalis,1263727
Aotus sp. LC-2012,1230482
Ateles hybridus hybridus,1230481
Eulemur albifrons,1215604
Macaca fascicularis fascicularis,1215360
Ateles geoffroyi ornatus,1214775
Semnopithecus hypoleucos,1208734
Semnopithecus priam,1208733
Simias,1203020
Rhinopithecus strykeri,1194336
Rhinopithecus bieti 2 RL-2012,1194335
Rhinopithecus bieti 1 RL-2012,1194334
Pygathrix cinerea 2 RL-2012,1194333
Pygathrix cinerea 1 RL-2012,1194332
Cercopithecus lomamiensis,1191211
Gorilla beringei beringei,1159185
Cercopithecus sp. WMS-2012,1144881
Allochrocebus preussi preussi,1137513
Allochrocebus preussi insularis,1137512
Cercopithecus denti,1137511
Cercopithecus pogonias schwarzianus,1137509
Cercopithecus wolfi pyrogaster,1137508
Cercopithecus pogonias pogonias,1137507
Cercopithecus pogonias nigripes,1137506
Cercopithecus wolfi elegans,1137505
Cercopithecus nictitans nictitans,1137495
Cercopithecus nictitans martini,1137494
Cercopithecus mitis stuhlmanni,1137491
Cercopithecus mitis opisthostictus,1137490
Cercopithecus albogularis monoides,1137489
Cercopithecus albogularis moloneyi,1137488
Cercopithecus albogularis labiatus,1137484
Cercopithecus albogularis francescae,1137483
Cercopithecus mitis mitis,1137482
Cercopithecus kandti,1137481
Cercopithecus mitis heymansi,1137480
Cercopithecus albogularis erythrarchus,1137476
Cercopithecus doggetti,1137474
Cercopithecus mitis boutourlinii,1137473
Cercopithecus albogularis albotorquatus,1137444
Cercopithecus erythrotis camerunensis,1137435
Cercopithecus erythrotis erythrotis,1137434
Cercopithecus erythrogaster pococki,1137433
Cercopithecus roloway,1137049
Cercopithecus dryas,1137048
Microcebus gerpi,1131379
Mico rondoni,1127763
Sapajus libidinosus,1126382
Trachypithecus phayrei holotephreus,1118394
Trachypithecus poliocephalus poliocephalus,1118393
Sapajus flavius,1112861
Saimiri sp. MAS-2011,1090919
Chlorocebus sp. MAS-2011,1090918
Chiropotes sp. MAS-2011,1090917
Cebus sp. MAS-2011,1090916
Callicebus sp. MAS-2011,1090915
Callimico sp. MAS-2011,1090914
Aotus sp. MAS-2011,1090913
Mico melanurus,1090896
Cebus olivaceus nigrivittatus,1090893
Saguinus inustus,1079039
Primates sp. BOLD:AAF0367,1068294
Primates sp. BOLD:AAD0215,1068293
Primates sp. BOLD:AAC7735,1068292
Presbytis thomasi,1046103
Presbytis rubicunda rubicunda,1046102
Presbytis rubicunda,1046101
Presbytis potenziani siberu,1046100
Presbytis potenziani potenziani,1046099
Presbytis potenziani,1046098
Presbytis melalophos sumatranus,1046097
Presbytis melalophos melalophos,1046096
Presbytis melalophos bicolor,1046095
Presbytis hosei hosei,1046094
Presbytis hosei,1046093
Presbytis frontata,1046092
Presbytis comata fredericae,1046091
Presbytis chrysomelas,1046090
Trachypithecus shortridgei,1042121
Aotus sp. AVB-2011,1002694
Propithecus perrieri,989338
Tarsius wallacei,981131
Primates sp. BOLD:AAO0053,976302
Primates sp. BOLD:AAJ7304,976301
Primates sp. BOLD:AAE4744,976300
Primates sp. BOLD:AAC9009,976299
Primates sp. BOLD:AAA0001,976298
Saimiri oerstedii citrinellus,942008
Aotus sp. SHM-2010,940829
Tarsius sangirensis,905053
Lepilemur wrightae,886968
Lepilemur tymerlachsoni,886967
Lepilemur scottorum,886966
Lepilemur randrianasoloi,886965
Lepilemur petteri,886964
Lepilemur milanoii,886963
Lepilemur hollandorum,886961
Lepilemur grewcockorum,886960
Lepilemur fleuretae,886959
Lepilemur betsileo,886958
Lepilemur ahmansonorum,886957
Saguinus imperator subgrisescens,881951
Leontocebus fuscicollis lagonotus,881950
Leontocebus fuscicollis nigrifrons,881949
Leontocebus fuscicollis illigeri,881947
Leontocebus fuscicollis leucogenys,881946
Saguinus graellsi,873073
Leontocebus nigricollis nigricollis,873070
Saguinus mystax mystax,873069
Saguinus melanoleucus melanoleucus,873068
Saguinus melanoleucus,873067
Saguinus labiatus labiatus,873066
Trachypithecus hatinhensis,867383
Semnopithecus hector,867382
Semnopithecus entellus entellus,867381
Saimiri oerstedii oerstedii,867380
Hapalemur occidentalis,867377
Galagoides thomasi,867376
Cheirogaleus minusculus,867375
Cercopithecus wolfi wolfi,867374
Cercopithecus hamlyni hamlyni,867373
Cercopithecus albogularis kolbi,867372
Cercopithecus albogularis,867370
Sapajus nigritus robustus,867367
Sapajus nigritus,867366
Callithrix kuhlii,867363
Mico argentatus argentatus,867362
Callicebus nigrifrons,867334
Callicebus coimbrai,867333
Plecturocebus caligatus,867332
Aotus azarai infulatus,867331
Microcebus margotmarshae,864581
Microcebus arnholdi,864580
Eulemur rufifrons,859984
Eulemur rufus,859983
Ateles geoffroyi frontatus,795835
Lagothrix cana,767357
Lagothrix poeppigii,767356
Lagothrix lugens,767355
Microcebus sp. DWW-2010a,764313
Pan troglodytes ellioti,756884
Lepilemur hubbardorum,756882
Cheirogaleus sibreei,752538
Trachypithecus francoisi x poliocephalus,744437
Homo sapiens subsp. 'Denisova',741158
Hylobates lar vestitus,716698
Hylobates lar lar,716697
Hylobates lar entelloides,716696
Hylobates lar carpenteri,716695
Hylobates muelleri abbotti,716694
Hylobates muelleri funereus,716693
Hylobates muelleri muelleri,716692
Hylobates albibarbis,716691
Hylobates agilis agilis,716690
Nomascus concolor lu,716685
Nomascus concolor concolor,716684
Nomascus hainanus,693984
Pygathrix cinerea,693712
Mico humilis,666519
Trachypithecus poliocephalus leucocephalus,662738
Tarsius sp. FFA-2009a,662655
Tarsius tarsier,662464
Cacajao calvus rubicundus,658400
Cacajao calvus novaesi,658398
Chiropotes chiropotes,658221
Sapajus cay,649471
Tarsius dentatus x lariang,642591
Eulemur cinereiceps,639525
Lagothrix sp. CCS-2009a,638937
Tarsius lariang,630277
Chiropotes albinasus x satanas,626367
Trachypithecus vetulus vetulus,614071
Ponginae,607660
Pithecia monachus,595220
Hoolock leuconedys,593543
Piliocolobus preussi,591945
Piliocolobus pennantii,591944
Piliocolobus foai,591938
Piliocolobus kirkii,591937
Piliocolobus tephrosceles,591936
Piliocolobus tholloni,591935
Piliocolobus rufomitratus,591934
Piliocolobus gordonorum,591933
Piliocolobus,591932
Trachypithecus sp.,580599
Phaner pallescens,568393
Miopithecus talapoin talapoin,560240
Varecia rubra,554167
Microcebus sp. Anjiahely,548482
Microcebus macarthurii,548481
Propithecus candidus,543560
Propithecus edwardsi,543559
Rhinopithecus,542827
Cacajao hosomi,535897
Cacajao ayresi,535896
Hadropithecus stenognathus,523825
Hadropithecus,523824
Archaeolemur edwardsi,523822
Archaeolemur majori,523821
Archaeolemur,523820
Colobus satanas satanas,517013
Colobus satanas,517012
Chlorocebus pygerythrus hilgerti,508712
Chlorocebus tantalus budgetti,508710
Pongo abelii x pygmaeus,502961
Papio cynocephalus ibeanus,501791
Gorilla beringei,499232
Saimiri sciureus macrodon,495300
Saimiri sciureus cassiquiarensis,495299
Saimiri sciureus albigena,495298
Saimiri boliviensis peruviensis,495297
Piliocolobus badius temminckii,491853
Piliocolobus badius badius,491852
Lepilemur jamesorum,486960
Propithecus deckenii deckenii,481705
Otolemur garnettii garnettii,477174
Propithecus deckenii coronatus,475619
Propithecus deckenii,475618
Microcebus sp. 'mangabenensis',469557
Microcebus sp. 'manombonensis',469556
Microcebus sp. 'anosynensis',469555
Trachypithecus poliocephalus,465719
Trachypithecus laotum,465718
Trachypithecus delacouri,465717
Chlorocebus cynosuros,460675
Chlorocebus pygerythrus pygerythrus,460674
Lepilemur otto,458173
Lepilemur manasamody,458171
Trachypithecus auratus mauritius,449596
Tarsius dentatus,449501
Macaca radiata radiata,439030
Papio sp. PS-2007,425246
Hylobates sp. PS-2007,425245
Nomascus concolor furvogaster,423450
Nomascus concolor jingdongensis,423449
Hylobates sp. ECACC MLA144,419588
Microcebus sp. Antanosy,418100
Mirza sp. 001y03,415977
Microcebus mamiratra,415757
Aotus sp. Aot1,413234
Microcebus sp. Maroakata,412761
Microcebus sp. Mahajamba-Est,412760
Microcebus sp. Bora,412759
Microcebus sp. Ambongabe,412758
Microcebus lokobensis,412752
Microcebus danfossi,412751
Microcebus bongolavensis,412750
Gorilla gorilla diehli,406788
Symphalangus syndactylus syndactylus,405039
Macaca munzala,402888
Avahi cleesei,402244
Avahi unicolor,402239
Lepilemur sp. hubbardi,400023
Chlorocebus,392815
Microcebus sp. ANT5.1,388736
Propithecus coquereli,379532
Atelidae,378855
Saimiriinae,378850
Lepilemur mittermeieri,378517
Colobus vellerosus x angolensis,378196
Colobus vellerosus,378195
Pitheciidae,376919
Aotidae,376918
Lorisiformes,376917
