Name,TaxID
Cercocebus atys lunulatus,75570
Cercocebus chrysogaster,75569
Lophocebus albigena albigena,75568
Lophocebus albigena,75567
Lophocebus aterrimus,75566
Lophocebus,75565
Saimiri oerstedii,70928
Cacajao rubicundus,70927
Cacajao melanocephalus,70825
Callicebus personatus,70814
Simiiformes sp.,70699
Lemur sp.,69491
Saimiri ustus,66265
Trachypithecus johnii,66063
Rhinopithecus avunculus,66062
Presbytis senex,66055
Homo sapiens neanderthalensis,63221
Nomascus leucogenys,61853
Nomascus gabriellae,61852
Hoolock hoolock,61851
Rhinopithecus roxellana,61622
Rhinopithecus bieti,61621
Trachypithecus phayrei,61618
Papio sp.,61183
Chlorocebus tantalus,60712
Chlorocebus sabaeus,60711
Chlorocebus pygerythrus,60710
Leontopithecus chrysopygus,58710
Callithrix penicillata,57378
Mico mauesi,57377
Callithrix aurita,57375
Leontopithecus chrysomelas,57374
Aotus vociferans,57176
Aotus nigriceps,57175
unclassified Primates,57118
Macaca thibetana,54602
Macaca silenus,54601
Macaca nigra,54600
Trachypithecus obscurus,54181
Trachypithecus francoisi,54180
Trachypithecus vetulus,54137
Trachypithecus,54136
Allenopithecus nigroviridis,54135
Allenopithecus,54134
Pygathrix nemaeus,54133
Pygathrix,54132
Colobus angolensis,54131
Mico humeralifer,52232
Callithrix geoffroyi,52231
Mico emiliae,48842
Leontocebus fuscicollis fuscicollis,48018
Mirza coquereli,47180
Eulemur fulvus collaris,47178
Cheirogaleus major,47177
Gorilla beringei graueri,46359
Nasalis larvatus,43780
Nasalis,43779
Saguinus geoffroyi,43778
Pithecia pithecia,43777
Aotus lemurinus,43147
Macaca tonkeana,40843
Eulemur fulvus fulvus,40322
Galagidae,40297
Propithecus sp.,39582
Saimiri boliviensis boliviensis,39432
unclassified Cebidae,38071
Cebinae,38070
Callicebinae,38069
Atelinae,38068
Alouattinae,38066
Pitheciinae,38039
Callitrichinae sp.,38020
Saguinus bicolor bicolor,37589
Saguinus bicolor,37588
Cebus olivaceus,37295
Cebus kaapori,37294
Aotus nancymaae,37293
Pan troglodytes verus,37012
Pan troglodytes troglodytes,37011
Pan troglodytes schweinfurthii,37010
Ateles paniscus x Ateles fusciceps,36234
Trachypithecus auratus pyrrhus,36233
Miopithecus talapoin,36231
Miopithecus,36230
Papio ursinus,36229
Cercopithecus nictitans,36228
Cercopithecus neglectus,36227
Cercopithecus mona,36226
Cercopithecus mitis,36225
Cercopithecus diana,36224
Cercopithecus ascanius,36223
Galago alleni,34830
Eulemur rubriventer,34829
Eulemur mongoz,34828
Indri indri,34827
Indri,34826
Propithecus verreauxi,34825
Colobus sp.,34824
Colobus guereza,33548
Daubentonia madagascariensis,31869
Cheirogaleidae,30615
Lepilemuridae,30614
Daubentoniidae,30613
Tarsius sp.,30612
Otolemur garnettii,30611
Otolemur,30610
Galago moholi,30609
Microcebus murinus,30608
Eulemur macaco macaco,30603
Eulemur macaco,30602
Propithecus tattersalli,30601
Propithecus,30600
Indriidae,30599
Pithecia irrorata,30598
Pithecia,30597
Cacajao calvus,30596
Cacajao,30595
Brachyteles arachnoides,30594
Brachyteles,30593
Cheracebus torquatus,30592
Aotus azarai,30591
Alouatta belzebul,30590
Alouatta palliata,30589
Leontopithecus rosalia,30588
Leontopithecus,30587
Saguinus midas,30586
Nomascus concolor,29089
Eulemur fulvus mayottensis,27680
Saimiri boliviensis,27679
Hapalemur griseus,13557
Hapalemur,13556
Eulemur fulvus,13515
Eulemur coronatus,13514
Eulemur,13513
Microcebus,13149
Daubentonia,13038
Homo sapiens,9606
Homo,9605
Hominidae,9604
Pongo sp.,9603
Pongo pygmaeus pygmaeus,9602
Pongo abelii,9601
Pongo pygmaeus,9600
Pongo,9599
Pan troglodytes,9598
Pan paniscus,9597
Pan,9596
Gorilla gorilla gorilla,9595
Gorilla gorilla,9593
Gorilla,9592
Symphalangus syndactylus,9590
Hylobates pileatus,9589
Hylobates muelleri,9588
Hylobates klossii,9587
Nomascus siki,9586
Hylobates agilis unko,9583
Hylobates sp.,9581
Hylobates lar,9580
Hylobates agilis,9579
Hylobates,9578
Hylobatidae,9577
Cercopithecidae gen. sp.,9576
Presbytis,9573
Colobus polykomos,9572
Colobus,9570
Colobinae,9569
Mandrillus leucophaeus,9568
Mandrillus,9567
Theropithecus gelada,9565
Theropithecus,9564
Papio hamadryas hamadryas,9562
Mandrillus sphinx,9561
Papio hamadryas,9557
Papio cynocephalus,9556
Papio anubis,9555
Papio,9554
Macaca speciosa,9553
Macaca sinica,9552
Macaca assamensis,9551
Macaca sp.,9549
Macaca radiata,9548
Macaca sylvanus,9546
Macaca nemestrina,9545
Macaca mulatta,9544
Macaca fuscata fuscata,9543
Macaca fuscata,9542
Macaca fascicularis,9541
Macaca arctoides,9540
Macaca,9539
Erythrocebus patas,9538
Erythrocebus,9537
Cercopithecus hamlyni,9536
Cercopithecus cephus,9535
Chlorocebus aethiops,9534
Cercopithecus,9533
Cercocebus galeritus,9532
Cercocebus atys,9531
Cercocebus torquatus,9530
Cercocebus,9529
Cercopithecinae,9528
Cercopithecidae,9527
Catarrhini,9526
Chiropotes satanas,9525
Chiropotes,9524
Plecturocebus moloch,9523
Callicebus,9522
Saimiri sciureus,9521
Saimiri,9520
Lagothrix lagotricha,9519
Lagothrix,9518
Cebus sp.,9517
Cebus capucinus,9516
Sapajus apella,9515
Cebus albifrons,9514
Cebus,9513
Ateles sp.,9511
Ateles paniscus,9510
Ateles geoffroyi,9509
Ateles fusciceps,9508
Ateles belzebuth,9507
Ateles,9506
Aotus trivirgatus,9505
Aotus,9504
Alouatta seniculus,9503
Alouatta caraya,9502
Alouatta,9499
Cebidae,9498
Callimico goeldii,9495
Callimico,9494
Cebuella pygmaea,9493
Saguinus imperator,9491
Saguinus oedipus,9490
Leontocebus nigricollis,9489
Saguinus mystax,9488
Leontocebus fuscicollis,9487
Saguinus,9486
Callithrix sp.,9485
Callithrix jacchus,9483
Mico argentatus,9482
Callithrix,9481
Callitrichinae,9480
Platyrrhini,9479
Cephalopachus bancanus,9477
Tarsius,9476
Tarsiidae,9475
Perodicticus potto edwarsi,9473
Perodicticus potto,9472
Perodicticus,9471
Nycticebus coucang,9470
Nycticebus,9469
Loris tardigradus,9468
Loris,9467
Galago senegalensis,9465
Galago sp.,9464
Otolemur crassicaudatus,9463
Galago,9462
Lorisidae,9461
Cheirogaleus medius,9460
Cheirogaleus,9459
Varecia variegata,9455
Varecia,9454
Lepilemur mustelinus,9453
Lepilemur,9452
Lemur catta,9447
Lemur,9446
Lemuridae,9445
Primates,9443
